Name,Place,State,Type,notes
Roronoa zoro,рюкзак,,фігурка,
AirPods,на мені,,навушники,
MacBook,зі мною,,ноутбук,
Iphone,зі мною,,телефон,
JBL,рюкзак,,навушники,
Шапка fire,на мені,,одяг,
Notebook black,,,,
Notes green finance,,,,
sketchbook маки,,,,
"lifecell картка ",,,,
ps4 gamepad мультикам,,,,
скотч прозорий аврора,,,,
таблетки,,,,
ковпак зелений,,,,
weedamin C,,,,
haker люлька,,,,
оригінал узд черевної (корабель),,,,
довідка 05.01 про стаціонар,,,,
ножнички для нігтів,,,,
карткова гра фінансики,,,,
type-c-hdmi,,,,
зелені браслети,,,,
